"","MAP","Cover"
"489",867,5.88888888888889
"490",861,0.888888888888889
"491",861,2.44444444444444
"492",861,5.66666666666667
"493",859,1.77777777777778
"494",858,3
"495",858,7
"496",586,0.666666666666667
"497",590,0.666666666666667
"498",590,0.111111111111111
"499",589,0
"500",589,0.111111111111111
"501",586,0.444444444444444
"502",588,1
"503",581,0.111111111111111
"504",579,0
"505",627,0
"506",629,0
"507",628,0
"508",629,0
"509",632,2.77777777777778
"510",623,0.75
"511",619,1
"512",635,0
"513",635,0
"514",650,15
"515",283,13.7
"516",283,9.5
"517",299,13.1
"518",299,13.7
"519",299,16.4
"520",301,24.9
"521",295,8.8
"522",289,15.7
"523",283,5.5
"524",269,17.1
"525",269,21
"526",275,20.7
"527",271,13.3
"528",269,11.5
"529",267,20.8
"530",264,18.6
"531",267,10.3
"532",267,15.7
"533",264,19
"534",264,21.9
"535",272,16.6
"536",263,22.1
"537",260,6.8
"538",260,20.7
"539",255,19.7
"540",250,10
"541",250,33.9
"542",250,13.9
"543",255,15.3
"544",247,4.5
"545",191,16.3
"546",189,8.8
"547",283,20
"548",275,20.9
"549",272,13.7
"550",262,8.2
"551",257,12.8
"552",280,19.2
"553",279,4
"554",282,4.6
"555",180,8
"556",224,8
"557",241,12
"558",260,10
"559",266,15
"560",271,16
"561",279,18
"562",284,15
"563",287,12
"564",283,14
"565",283,15
"566",283,15
"567",281,14
"568",286,12
"569",306,14
"570",321,16
"571",322,14
"572",311,13
"573",331,17
"574",347,18
"575",354,14
"576",363,19
"577",348,20
"578",349,14
"579",344,17
"580",351,12
"581",364,13
"582",371,17
"583",380,12
"584",390,11
"585",406,19
"586",363,15
"587",357,17
"588",352,25
"589",355,16
"590",362,18
"591",378,11
"592",387,17
"593",400,15
"594",410,15
"595",448,14
"596",459,12
"597",469,14
"598",479,20
"599",486,21
"600",523,25
"601",520,22
"602",537,20
"603",495,15
"604",523,26
"605",554,21
"606",576,18
"607",621,22
"608",634,24
"609",460,36.1
"610",698,32.3
"611",407,32.1
"612",365,13.8
"613",707,29.9
"614",409,19
"615",257,0.5
"616",465,41
"617",500,35
"618",500,50
"619",547,28
"620",547,28
"621",779,9.1
"622",575,39.6
"623",491,19.78
"624",485,19.55
"625",475,15.18
"626",527,10.78
"627",491,10.2
"628",485,6.43
"629",493,11.35
"630",527,19.42
"631",491,10.33
"632",485,11.35
"633",493,9.1
"634",527,11.85
"635",493,6.59
"636",497,6.14
"637",510,47.5
"638",521,44.5
"639",637,22.5913
"640",631,14.4342
"641",477,33.4848
"642",633,6.27845
"643",588,6.65
"644",433,8.68635
"645",520,2.65
"646",396,15.0902
"647",714,2.7
"648",524,14.8735
"649",523,7.2436
"650",505,12.8205
"651",584,13.5828
"652",597,3.33
"653",626,13.4937
"654",630,3.26
"655",743,46.9185
"656",678,0.37
"657",700,1.14
"658",531,0.96
"659",533,10.3257
"660",503,1.82
"661",481,17.199
"662",485,1.81
"663",572,45.3268
"664",570,9.7812
"665",517,30.8448
"666",467,17.0379
"667",500,7.33315
"668",546,14.4936
"669",460,48.1554
"670",438,13.4541
"671",505,10.8057
"672",481,4.71
"673",655,33.1392
"674",745,12.6819
"675",781,21.40125
"676",790,4.9
"677",779,18.3554
"678",788,6.86
"679",794,17.9634
"680",728,7.81075
"681",728,18.5318
"682",742,18.8846
"683",695,5.07
"684",683,6.0695
"685",703,11.1474
"686",617,9.1773
"687",553,7.63165
"688",553,19.9881
"689",578,5.02
"690",514,5.15
"691",510,1.66
"692",504,5.83
"693",508,2.4
"694",490,8.8605
"695",479,0.42
"696",482,1.2
"697",471,16.8829
"698",474,6.33815
"699",449,39.6435
"700",511,21.8476
"701",666,21.9026
"702",467,15.1569
"703",566,26.5101
"704",682,1.96
"705",630,4.03
"706",662,2.08
"707",650,2.44
"708",658,3.24
"709",665,3.53
"710",666,18.6984
"711",736,11.7808
"712",717,6.7262
"713",666,10.71615
"714",541,1.43
"715",561,3.43
"716",453,13.167
"717",435,51.8605
"718",497,37.487
"719",486,12.3156
"720",447,11.1078
"721",501,4.1
"722",497,13.46235
"723",497,30.32995
"724",470,37.056
"725",401,2.44
"726",419,6.8706
"727",387,11.3386
"728",623,25.7
"729",623,32
"730",216,5.8
"731",216,2.2
"732",970,84
"733",879,64.8
"734",811,53.7
"735",737,61
"736",886.4,70.9
"737",860,20
"738",1163,5.5
"739",1163,14.7
"740",1163,40.1
"741",943,30
"742",132.15,0.252
"743",132.15,0.685
"744",150.69,0.964
"745",150.02,1.366
"746",162.69,2.071
"747",162.69,0.371
"748",155.33,1.93985275
"749",165.89,3.00969
"750",167.7,4.4775070117647
"751",177.89,0.5478613125
"752",225.89,1.1628676
"753",213.1,1.70247311111111
"754",228.76,0.439255542725173
"755",224.96,0.415
"756",232,1.077805
"757",232,3
"758",262.4,8.2859105
"759",235.36,1.830404125
"760",209.09,1.06331482352941
"761",306,13
"762",313,2.5
"763",312,2.5
"764",318,2.5
"765",317,2.5
"766",320,2.5
"767",321,2.5
"768",537,10.32
"769",543,1.66
"770",556,22.98
"771",535,7.79
"772",554,3.83
"773",537,32.05
"774",543,8.15
"775",545,8.4
"776",566,8
"777",300,5.76
"778",533.194117647059,29.5
